id,finished,consent,country,country_analysis,aware_open_research,aware_study_preregistration,aware_registered_reports,aware_open_materials,aware_open_data,aware_open_code,aware_preprints,aware_open_peer_review,aware_open_access_publication,aware_replication_studies,aware_research_co_production,used_open_research,used_study_preregistration,used_registered_reports,used_open_materials,used_open_data,used_open_code,used_preprints,used_open_peer_review,used_open_access_publication,used_replication_studies,used_research_co_production
P855,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,NA
P856,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,NA,NA,NA,I've used this,NA,NA
P857,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,I've not used this,NA,NA,NA,NA,NA,I've not used this
P858,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,NA,NA
P859,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P860,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,NA,I've used this,I've not used this,I've not used this
P861,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,NA,NA,I'm aware of this,NA,NA,NA,I've used this,I've not used this,NA,NA,I've not used this,NA,NA,I've used this,NA,NA,NA
P862,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P863,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,I've not used this,NA,NA,I've not used this,I've not used this,NA,I've not used this,NA,I've not used this,NA,NA
P864,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've not used this,I've not used this
P865,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P866,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA
P867,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this
P868,TRUE,Yes,Norway,Norway,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I've used this,NA,NA,NA,NA,NA,NA,NA,I've used this,NA,I've used this
P869,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P870,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,I've not used this,I've not used this,NA,I've not used this,NA,I've not used this,I've not used this,I've not used this
P871,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P872,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),India,NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,NA,I've used this
P873,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P874,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,Not applicable to my research,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,NA
P875,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA
P876,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this
P877,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,I've used this,Not applicable to my research,NA,NA,I've used this,I've used this,NA,NA
P878,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,NA,NA,I've used this,I've not used this,I've not used this,I've used this,NA,I've used this,I've not used this,I've not used this
P879,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,I've used this,Not applicable to my research,Not applicable to my research,I've used this,I've used this,I've used this,Not applicable to my research,I've used this
P880,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,Not applicable to my research,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,Not applicable to my research,Not applicable to my research
P881,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've not used this,NA,NA,NA,I've not used this,NA,NA,I've used this,I've used this,NA,I've used this
P882,TRUE,Yes,Australia,Australia,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,NA,I've not used this,NA,I've used this
P883,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,I've not used this,NA,NA,NA,NA,NA,I've used this,NA,I've used this,NA,NA
P884,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,Not applicable to my research,NA,Not applicable to my research,I've not used this,I've not used this,I've used this,NA,I've not used this,Not applicable to my research,I've used this
P885,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,NA,I've used this,I've not used this,I've used this,I've not used this,I've used this,NA,NA
P886,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,Not applicable to my research,NA,NA,Not applicable to my research,I've used this,I've used this,NA,I've not used this,Not applicable to my research,NA
P887,TRUE,Yes,Austria,Austria,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,NA,NA,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,I've used this,Not applicable to my research,NA
P888,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,I've used this,NA,NA
P889,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,I've not used this,I've not used this
P890,TRUE,Yes,Australia,Australia,NA,NA,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,I've not used this,I've not used this,NA,NA,I've not used this,I've not used this,I've not used this,I've used this
P891,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P892,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've used this,I've not used this,I've used this
P893,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,Not applicable to my research,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've used this
P894,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,Not applicable to my research,NA,NA,I've not used this,I've used this,I've used this,NA,I've not used this,Not applicable to my research,NA
P895,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've used this,NA,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA,I've used this
P896,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've used this,I've used this,NA,I've not used this,I've not used this,Not applicable to my research,I've not used this,I've used this,I've used this,NA,I've used this
P897,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've not used this,NA,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this
P898,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,I've not used this,I've not used this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,NA,NA
P899,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,I'm aware of this,NA,I've not used this,I've used this,NA,I've not used this,NA,NA,NA,NA,NA,I've not used this,NA
P900,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,NA,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this
P901,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,I've used this,NA,I've used this,I've used this,NA,I've not used this,NA,I've used this,I've used this,NA
P902,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,Not applicable to my research,I've not used this
P903,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've not used this,I've used this,NA,I've not used this,I've not used this,NA,I've used this,I've used this,I've used this,NA,I've used this
P904,TRUE,Yes,Australia,Australia,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,I've used this
P905,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've not used this,I've used this,NA,NA,I've used this,NA,I've used this,I've used this,I've used this,NA,I've not used this
P906,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this
P907,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've used this,I've used this,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,NA,I've used this
P908,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,Not applicable to my research,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P909,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,Not applicable to my research,NA,I've used this,I've used this,NA,I've not used this,I've used this,I've used this,I've not used this,I've used this
P910,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P911,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,I've used this,NA,I've not used this,I've used this,NA,I've used this,I've used this,I've used this,NA,NA
P912,TRUE,Yes,Australia,Australia,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,I've used this,I've used this,NA,I've used this
P913,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,I've used this,NA,I've not used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,NA,NA
P914,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,I've used this,NA,I've used this,NA,NA,I've used this,I've used this,I've used this,NA,NA
P915,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,I've used this,NA,NA,NA,NA,I've used this,I've not used this,I've used this,NA,NA
P916,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA,NA,NA,NA,NA,NA,NA,NA
P917,TRUE,Yes,Australia,Australia,NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,I've used this,I've not used this,NA,I've not used this,I've not used this,I've used this,I've not used this,NA
P918,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,NA,I've used this,I've not used this,I've used this,I've not used this,NA
P919,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P920,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,NA,Not applicable to my research,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P921,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,NA,NA,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,NA
P922,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,NA,NA,NA,NA,NA,I've not used this,I've used this,Not applicable to my research,I've used this
P923,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA,I've used this,I've used this,I've not used this,NA
P924,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,I've not used this,NA,I've not used this,I've not used this,Not applicable to my research,I've used this,I've not used this,I've used this,NA,NA
P925,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,Not applicable to my research,Not applicable to my research,I've not used this,I've not used this,I've not used this,I've used this,I've not used this,NA
P926,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,NA,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA
P927,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I've not used this,I've used this,NA,I've not used this,I've not used this,I've not used this,NA,NA,I've not used this,I've not used this,NA
P928,TRUE,Yes,Australia,Australia,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,Not applicable to my research,NA,I've used this,NA,I've used this,NA,I've used this
P929,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this
P930,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this
P931,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,NA,NA,NA,NA,NA
P932,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,Not applicable to my research,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P933,TRUE,Yes,Australia,Australia,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,Not applicable to my research,NA,I've not used this,I've not used this,NA,NA,I've not used this,I've used this,NA,NA
P934,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,NA,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P935,TRUE,Yes,Australia,Australia,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,I've used this,NA,NA,NA
P936,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,NA,NA,I've used this,I've not used this,NA,NA,I've used this,I've not used this,Not applicable to my research,I've used this
P937,TRUE,Yes,Australia,Australia,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P938,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,Not applicable to my research,I've not used this,NA,Not applicable to my research,Not applicable to my research,Not applicable to my research,I've not used this,NA,I've used this,Not applicable to my research,I've used this
P939,TRUE,Yes,Australia,Australia,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,I've used this,I've not used this,NA,I've not used this,NA,I've used this,I've not used this,I've not used this
P940,TRUE,Yes,Australia,Australia,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,I've used this,I've not used this,I've used this,I've not used this,NA
P941,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,Not applicable to my research,Not applicable to my research,I've used this,I've not used this,I've not used this,I've used this,I've not used this,I've used this,Not applicable to my research,I've used this
P942,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,NA,NA,I've used this,NA,I've not used this,I've used this,I've used this,I've not used this,I've used this
P943,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've not used this,NA,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,NA,I've not used this
P944,TRUE,Yes,Finland,Finland,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,NA,I've used this,NA,NA,I've used this,NA,I've used this,I've not used this,NA
P945,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this
P946,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P947,TRUE,Yes,Finland,Finland,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P948,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P949,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA
